FRType;num;Fseverity;WarnTime;Understanding;FatRate
1;2;MEDIUM;1.5;C7;0.0002
1;2;MEDIUM;24;C7;0.0002
1;1;LOW;0;C7;0.02
1;1;LOW;0.25;C7;0.0075
1;1;LOW;0.625;C7;0.002
1;1;LOW;1;C7;0.0002
1;1;LOW;1.5;C7;0.0002
1;1;LOW;24;C7;0.0001
1;3;HIGHT;0;C8;0.9
1;3;HIGHT;0.25;C8;0.55
1;3;HIGHT;0.625;C8;0.35
1;3;HIGHT;1;C8;0.25
1;3;HIGHT;1.5;C8;0.1
1;3;HIGHT;24;C8;0.01
1;2;MEDIUM;0;C8;0.3
1;2;MEDIUM;0.25;C8;0.06
1;2;MEDIUM;0.625;C8;0.01
1;2;MEDIUM;1;C8;0.005
1;2;MEDIUM;1.5;C8;0.0002
1;2;MEDIUM;24;C8;0.0002
1;1;LOW;0;C8;0.02
1;1;LOW;0.25;C8;0.006
1;1;LOW;0.625;C8;0.0015
1;1;LOW;1;C8;0.0015
1;1;LOW;1.5;C8;0.0001
1;1;LOW;24;C8;0.0001
1;3;HIGHT;0;C9;0.9
1;3;HIGHT;0.25;C9;0.55
1;3;HIGHT;0.625;C9;0.35
1;3;HIGHT;1;C9;0.2
1;3;HIGHT;1.5;C9;0.01
1;3;HIGHT;24;C9;0.01
1;2;MEDIUM;0;C9;0.3
1;2;MEDIUM;0.25;C9;0.06
1;2;MEDIUM;0.625;C9;0.008
1;2;MEDIUM;1;C9;0.004
1;2;MEDIUM;1.5;C9;0.0002
1;2;MEDIUM;24;C9;0.0002
1;1;LOW;0;C9;0.02
1;1;LOW;0.25;C9;0.006
1;1;LOW;0.625;C9;0.0015
1;1;LOW;1;C9;0.0013
1;1;LOW;1.5;C9;0.0001
1;1;LOW;24;C9;0.0001
1;3;HIGHT;0;C10;0.9
1;3;HIGHT;0.25;C10;0.5
1;3;HIGHT;0.625;C10;0.3
1;3;HIGHT;1;C10;0.1
1;3;HIGHT;1.5;C10;0.01
1;3;HIGHT;24;C10;0.01
1;2;MEDIUM;0;C10;0.3
1;2;MEDIUM;0.25;C10;0.03
1;2;MEDIUM;0.625;C10;0.005
1;2;MEDIUM;1;C10;0.002
1;2;MEDIUM;1.5;C10;0.0002
1;2;MEDIUM;24;C10;0.0002
1;1;LOW;0;C10;0.02
1;1;LOW;0.25;C10;0.005
1;1;LOW;0.625;C10;0.001
1;1;LOW;1;C10;0.0001
1;1;LOW;1.5;C10;0.0001
1;1;LOW;24;C10;0.0001
