VulnID;OccuType;DmgType;VulnType;HydroValue;Damage
1;12400;1;2;4;0.271776057
1;12400;1;2;4.5;0.343966572
1;12400;1;2;5;0.424650088
1;12400;1;2;5.5;0.513826607
1;12400;1;2;6;0.611496127
1;12400;1;2;6.5;0.717658649
1;12400;1;2;7;0.832314173
1;12400;1;2;7.5;0.955462699
1;12400;1;2;7.7;1
1;12400;1;2;10;1
1;13100;2;1;0;0
1;13100;2;1;0.5;0.5
1;13100;2;1;1;1
1;13100;2;1;9999;1
1;13300;2;1;0;0
1;13300;2;1;0.5;0.5
1;13300;2;1;1;1
1;13300;2;1;9999;1
1;13400;2;1;0;0
1;13400;2;1;0.5;0.5
1;13400;2;1;1;1
1;13400;2;1;9999;1
1;14100;2;1;0;0
1;14100;2;1;0.5;0.05
1;14100;2;1;1;0.1
1;14100;2;1;1.5;0.15
1;14100;2;1;2;0.2
1;14100;2;1;2.5;0.25
1;14100;2;1;3;0.3
1;14100;2;1;9999;0.3
1;14200;1;1;0.3048;0
1;14200;1;1;0.762;0.27
1;14200;1;1;0.9144;0.36
1;14200;1;1;1.2192;0.54
1;14200;1;1;1.524;0.72
1;14200;1;1;2.4384;0.9
1;14200;1;1;3;0.9
1;14200;1;1;9999;0.9
1;14200;2;1;0.3048;0
1;14200;2;1;0.762;0.15
1;14200;2;1;0.9144;0.2
1;14200;2;1;1.2192;0.3
1;14200;2;1;1.524;0.7
1;14200;2;1;2.4384;1
1;14200;2;1;3;1
1;14200;2;1;9999;1
1;14200;1;2;0;0
1;14200;1;2;0.5;0.004246501
1;14200;1;2;1;0.016986004
1;14200;1;2;1.5;0.038218508
1;14200;1;2;2;0.067944014
1;14200;1;2;2.5;0.106162522
1;14200;1;2;3;0.152874032
1;14200;1;2;3.5;0.208078543
1;14200;1;2;4;0.271776057
1;14200;1;2;4.5;0.343966572
1;14200;1;2;5;0.424650088
1;14200;1;2;5.5;0.513826607
1;14200;1;2;6;0.611496127
1;14200;1;2;6.5;0.717658649
1;14200;1;2;7;0.832314173
1;14200;1;2;7.5;0.955462699
1;14200;1;2;7.7;1
1;14200;1;2;10;1
1;20000;2;1;0;0
1;20000;2;1;0.5;1
1;20000;2;1;9999;1
1;30000;2;1;0;0
1;30000;2;1;0.5;0.05
1;30000;2;1;1;0.1
1;30000;2;1;1.5;0.15
1;30000;2;1;2;0.2
1;30000;2;1;2.5;0.25
1;30000;2;1;3;0.3
1;30000;2;1;9999;0.3
1;40000;2;1;0;0
1;40000;2;1;0.5;0.001
1;40000;2;1;3;0.1
1;40000;2;1;9999;1
1;50000;2;1;0;0
1;50000;2;1;0.5;0.001
1;50000;2;1;3;0.1
1;50000;2;1;9999;1
